participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate
33,3,34.34696300001815,55,15,5,50,30,15,28.3,34.10493152207591,34.26020050048825,0.08734396691778586,0.2620364248096304
33,4,43.683851000037976,55,50,75,70,55,55,60,35.85570534004235,36.0276222229004,0.16024228266857504,0.27471311137464627
34,1,33.2918569999747,5,5,5,25,5,5,8.3,26.849564296983317,26.750789642334,,0.21023419774212393
34,2,29.632373000029474,15,20,80,40,35,40,38.3,28.173170613926565,28.2951946258545,,0.303671069435392
34,3,24.645579000003636,5,5,5,95,5,30,24.2,27.07440966873634,27.1056213378906,,0.2840685202487407
34,4,44.655054000089876,45,5,60,30,45,35,36.7,30.655026905222673,30.459950447082498,0.1343632906588339,0.3135256452616624
35,1,29.507894000038505,25,5,30,25,20,25,21.7,35.081415515774644,35.0379371643066,0.033889236554757014,0.3388005981116607
35,2,29.523863999987952,35,5,25,40,30,15,25,35.87295925788675,35.7455253601074,,0.4064511038563942
35,3,48.64602600003127,65,5,20,35,60,30,35.8,36.37631547173615,36.1877403259277,0.2261233014181452,0.34946417480332814
35,4,35.298818000010215,85,5,65,85,75,80,65.8,38.01768671659565,37.8750762939453,0.08498868149067008,0.3399510614950923
36,1,30.918845999985933,25,15,15,25,35,35,25,38.254205183619575,38.194639875243396,,0.19405675946740963
36,2,25.062837000004947,35,25,10,15,50,15,25,41.9142013489413,41.903774261474595,,0.31910337694920576
36,3,70.76421299995854,100,15,35,15,85,50,50,44.52977573057908,44.4504856962192,0.12718293072806833,0.2119606692565667
36,4,58.94351299997652,90,15,85,25,95,75,64.2,44.620872645030026,44.646157849439646,0.20358474392262266,0.30537909238849154
37,1,16.75169399997685,10,10,25,5,20,5,12.5,31.443278406741545,31.50541019439695,0.05969545527762039,0.11937612010235842
37,2,11.25620699999854,40,15,30,10,30,10,22.5,32.741573101307246,31.83304308222995,,0.0
37,3,35.98843599995598,40,20,20,15,20,5,20,32.44097724883579,32.6038627624512,0.055573406968906516,0.2778717756241285
37,4,71.48366800002987,60,20,50,10,35,10,30.8,32.91028421456565,32.91237258911135,0.13989209395348629,0.11190939110671477
38,1,57.467451000004075,50,5,5,0,25,5,15,26.72047601802728,26.6483535766602,0.017401154611850263,0.19141203124143552
38,2,28.54990500002168,50,25,50,10,50,5,31.7,27.719569802605125,27.8827496988634,,0.21013590539651245
38,3,102.84801600000355,75,25,25,25,50,50,41.7,27.550580062863542,27.586966672705202,0.19446169967925594,0.26252349238872863
38,4,79.48052999994252,75,25,15,15,50,50,38.3,28.436228088950266,28.21765995025635,0.15098037217427562,0.3019370507297035
39,1,32.03911100002006,5,10,5,0,5,5,5,28.983968906436306,28.9920436789878,,0.37449232299261237
39,2,47.23850300000049,5,10,35,65,5,5,20.8,28.068448340335188,28.0333722508216,0.02116917210522081,0.33868567836363833
39,3,59.93604599998798,30,5,10,30,40,5,20,32.22040693732017,32.1882629394531,0.30032011120659524,0.30030005230431966
39,4,32.7335290000774,20,10,10,5,10,5,10,31.38094364221705,31.387964248657198,0.06109943110610747,0.3360692681534388
40,1,45.9195400000317,35,25,50,5,25,10,25,31.76688073922774,31.7721214294434,0.021777221635915986,0.2831166561712057
40,2,40.61972300009802,55,35,75,20,50,30,44.2,33.437913147003606,33.2792587280273,0.04923716491112393,0.32001020487902987
40,3,100.53204499999993,85,75,55,70,80,20,64.2,37.93845020104739,37.92292022705075,0.8057132429764068,0.2685606558787548
40,4,96.82008800003678,85,45,95,75,75,25,66.7,38.98197949483502,39.20012855529785,0.6610198495169276,0.21688846326431657
41,1,71.82418400002643,20,5,20,5,20,5,12.5,28.904500805969388,29.0213675750654,,0.33416115959194925
41,2,62.70812299998943,15,5,15,5,25,5,11.7,29.23106443181091,29.2870639113303,,0.2711062148618165
41,3,118.88899299991317,90,90,90,5,90,25,65,31.049298061332284,31.1111869812012,,0.23551754066928007
41,4,86.73255700001027,90,90,90,10,90,25,65.8,30.53064413210651,30.5984916687012,0.023059391642284488,0.3112736933320771
42,1,43.37153399991803,40,20,15,10,10,10,17.5,30.162320183103095,30.289182662963903,0.06916979233442999,0.2997092935126747
42,2,27.28239800001029,50,25,60,20,30,10,32.5,33.03518368670857,33.1260032653809,0.03665366951979891,0.32989756625523553
42,3,70.98428799991962,75,60,30,65,90,75,65.8,33.948182939653734,34.031467437744155,0.08452574744437522,0.2676462425234721
42,4,42.705881000030786,70,60,40,35,65,25,49.2,31.949708635785846,32.0689697265625,0.09366391481297662,0.3746019239976715
43,1,34.35465400000248,5,5,10,0,10,5,5.8,28.616321585436364,28.6911087036133,0.08732441316392775,0.20374793155826676
43,2,33.46423099999811,15,10,10,0,5,5,7.5,29.531979774960636,29.8584861755371,0.059765305827589855,0.23906372366077167
43,3,51.95103199999721,30,10,55,10,70,10,30.8,31.332484925829103,31.2689971923828,0.07699558307138565,0.30797094144033743
43,4,53.43950400000176,65,5,65,80,55,35,50.8,32.04855162202558,32.0488848489292,0.09356374265748865,0.33703428181644407
44,1,26.77200300000186,50,25,25,15,35,5,25.8,32.069953691340736,32.0432987213135,0.03735245360610226,0.2987752120995945
44,2,34.59011900000041,50,5,75,25,65,5,37.5,33.06694562291998,33.0068302154541,0.057819980324438205,0.3758302306620441
44,3,63.3574959999969,85,50,50,25,60,50,53.3,34.306020838708854,34.5428619384766,0.9470071228825542,0.2682941558501944
44,4,99.68808199999694,60,5,75,25,75,5,40.8,37.57961773942557,37.4631767272949,0.61190865323301,0.18056376249900785
45,1,69.07207500000368,55,20,35,25,40,15,31.7,34.267423344339726,34.01073265075685,0.014477630793630375,0.2316423559582414
45,2,35.4942219999939,65,30,20,5,25,5,25,35.58384829256882,35.39013671875,,0.22536421568673756
45,3,70.69476199999917,80,65,55,40,80,30,58.3,36.734790225661705,36.6776008605957,0.07072659782064276,0.24046172498582413
45,4,40.64280999999028,85,45,80,55,85,25,62.5,37.044904321409334,36.6743583679199,0.024604597959644994,0.3444582480619283
46,1,25.530761000001803,10,5,15,0,10,5,7.5,31.055881048210967,31.194507598877,0.07833687370305409,0.39183590304201377
46,2,33.331174000006285,10,30,100,10,45,15,35,31.033951072477905,31.2105770111084,0.09000583057768785,0.23999841121053872
46,3,42.97146800000337,75,5,55,15,55,20,37.5,35.13043137832511,35.3915328979492,0.16289878670189836,0.3491465165774192
46,4,45.50780300000042,65,25,75,30,80,50,54.2,33.19982987189563,33.598917007446246,0.17579402811425385,0.2636871338971978
47,1,41.93576300004497,5,5,5,0,10,5,5,31.570698497810213,31.573809623718297,0.04769199024703223,0.23847812892615108
47,2,22.78008499997668,10,5,5,45,20,10,15.8,33.22578155602309,33.427505493164105,0.13169397743700567,0.30716490891923476
47,3,90.3236039999174,50,10,20,50,75,10,35.8,34.71404367946369,35.0118865966797,0.07749912193501936,0.28784175098201326
47,4,34.180457999929786,50,5,10,10,50,5,21.7,34.12767639703201,34.2939147949219,0.2340518667133259,0.3218160018468735
