participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate,blinkrate_rel,fixationrate_rel,mean_pupil_diameter_rel,median_pupil_diameter_rel,blinkrate_var,blinkrate_std,fixationrate_var,fixationrate_std,mean_pupil_diameter_var,mean_pupil_diameter_std,median_pupil_diameter_var,median_pupil_diameter_std
15,3,40.88398599997163,90,5,15,65,70,51,49.3,27.411144388569568,27.0941181182861,0.6114863653465039,0.3423660418276532,0.18166568753596973,0.055782363584550354,1.2711093459700074,0.9958496093749538,0.043836045135790425,0.20937059281520512,0.00300777211394948,0.05484315922655696,2.7648959157028927,1.6627976171810244,3.0890328560866953,1.7575644671211055
15,4,74.532257999992,100,5,100,50,100,95,75.0,29.726189570815865,29.7353897094727,0.6440164472141063,0.2817413323568584,0.21419576940357216,-0.004842345886244437,3.586154528216305,3.637121200561552,0.043836045135790425,0.20937059281520512,0.00300777211394948,0.05484315922655696,2.7648959157028927,1.6627976171810244,3.0890328560866953,1.7575644671211055
16,1,21.561471999972127,10,5,5,0,10,5,5.8,32.43860861543028,32.0585966663499,0.092758045461951,0.3246064361438177,0.0,0.0,0.0,0.0,0.00428252647550659,0.06544101523896607,0.0003654471861259743,0.019116672987891336,0.7620727974817825,0.8729678101062962,0.6924599872484271,0.8321418071749712
16,2,22.21364800003357,15,5,25,0,15,5,10.8,34.360926037053055,34.0446395874023,0.0450173695017805,0.3150803675504008,-0.0477406759601705,-0.00952606859341687,1.9223174216227719,1.9860429210524018,0.00428252647550659,0.06544101523896607,0.0003654471861259743,0.019116672987891336,0.7620727974817825,0.8729678101062962,0.6924599872484271,0.8321418071749712
16,3,57.36395300005097,50,5,50,10,55,5,29.2,34.380870046137204,34.060081481933594,0.1743255036833168,0.2789300883347421,0.08156745822136581,-0.04567634780907559,1.942261430706921,2.0014848155836944,0.00428252647550659,0.06544101523896607,0.0003654471861259743,0.019116672987891336,0.7620727974817825,0.8729678101062962,0.6924599872484271,0.8321418071749712
16,4,31.44736099999864,90,5,90,50,90,25,58.3,32.858972094393486,32.6111106872559,0.1271966827359591,0.2862251749348002,0.0344386372740081,-0.03838126120901747,0.42036347896320336,0.5525140209060027,0.00428252647550659,0.06544101523896607,0.0003654471861259743,0.019116672987891336,0.7620727974817825,0.8729678101062962,0.6924599872484271,0.8321418071749712
17,1,42.02249799994752,65,85,25,30,60,10,45.8,35.69770927686648,35.561313629150405,0.0475935533390351,0.2379697232311306,0.0,0.0,0.0,0.0,0.0920186490939521,0.3033457583253013,0.0008360741273565242,0.02891494643530443,12.034871564770544,3.4691312406379993,13.726481941475033,3.7049267120248186
17,2,20.964111999957822,60,10,55,15,40,10,31.7,36.07282062325167,35.6801338195801,0.0,0.286228044610225,-0.0475935533390351,0.04825832137909439,0.3751113463851894,0.1188201904296946,0.0920186490939521,0.3033457583253013,0.0008360741273565242,0.02891494643530443,12.034871564770544,3.4691312406379993,13.726481941475033,3.7049267120248186
17,3,51.03234399994835,70,10,30,20,75,15,36.7,41.50659329884272,41.3322296142578,0.4898853950354563,0.2548797112846967,0.4422918416964212,0.01690998805356611,5.80888402197624,5.7709159851073935,0.0920186490939521,0.3033457583253013,0.0008360741273565242,0.02891494643530443,12.034871564770544,3.4691312406379993,13.726481941475033,3.7049267120248186
17,4,61.27379000000656,90,10,55,30,60,40,47.5,42.5260421409811,42.6558570861816,0.5548865183628492,0.2284684424578137,0.507292965023814,-0.009501280773316911,6.828332864114614,7.094543457031193,0.0920186490939521,0.3033457583253013,0.0008360741273565242,0.02891494643530443,12.034871564770544,3.4691312406379993,13.726481941475033,3.7049267120248186
18,1,34.444332999992184,45,10,25,70,40,15,34.2,29.327989992587263,29.4192562103271,0.0290323519982293,0.2031914585741378,0.0,0.0,0.0,0.0,9.394535225332201e-07,0.0009692541062761716,0.005137650194186044,0.07167740365126267,3.1067451659943575,1.7625961437590738,1.745221040382859,1.3210681437317529
18,2,26.60356099996716,60,10,75,45,35,15,40.0,31.86453822812011,32.042854309082045,0.0,0.3006199064306987,-0.0290323519982293,0.09742844785656088,2.536548235532848,2.6235980987549468,9.394535225332201e-07,0.0009692541062761716,0.005137650194186044,0.07167740365126267,3.1067451659943575,1.7625961437590738,1.745221040382859,1.3210681437317529
18,3,7249.677537999931,65,10,30,60,60,15,40.0,31.279878476076977,30.8578329086304,0.0013793716958559,0.17631890212116,-0.027652980302373398,-0.026872556452977814,1.9518884834897143,1.4385766983033008,9.394535225332201e-07,0.0009692541062761716,0.005137650194186044,0.07167740365126267,3.1067451659943575,1.7625961437590738,1.745221040382859,1.3210681437317529
18,4,6954.677879000083,80,10,60,70,70,15,50.8,34.58283374040887,33.4954490661621,0.0018692454526548,0.1766236620757733,-0.027163106545574498,-0.02656779649836452,5.25484374782161,4.076192855835004,9.394535225332201e-07,0.0009692541062761716,0.005137650194186044,0.07167740365126267,3.1067451659943575,1.7625961437590738,1.745221040382859,1.3210681437317529
19,1,33.800468000001274,15,5,5,10,10,5,8.3,31.433579092094742,31.305987358093248,0.0,0.3253852417057771,0.0,0.0,0.0,0.0,0.015302196040816332,0.1237020454188868,0.001491692228871647,0.038622431679940186,11.10760785477028,3.3328078034549606,11.891860547287484,3.448457705596443
19,2,31.02778699999908,40,5,85,5,25,15,29.2,32.93037137434333,32.9823513031006,0.0,0.2900820464837819,0.0,-0.03530319522199521,1.4967922822485882,1.6763639450073526,0.015302196040816332,0.1237020454188868,0.001491692228871647,0.038622431679940186,11.10760785477028,3.3328078034549606,11.891860547287484,3.448457705596443
19,3,57.874758000005386,90,5,50,75,75,20,52.5,39.484403165965375,39.7528953552246,0.2419016594419055,0.3628646463548973,0.2419016594419055,0.037479404649120196,8.050824073870633,8.446907997131355,0.015302196040816332,0.1237020454188868,0.001491692228871647,0.038622431679940186,11.10760785477028,3.3328078034549606,11.891860547287484,3.448457705596443
19,4,39.46618200000376,90,5,90,30,90,15,53.3,37.25920665584587,37.5057716369629,0.0760144470017321,0.3040658353211436,0.0760144470017321,-0.021319406384633477,5.82562756375113,6.19978427886965,0.015302196040816332,0.1237020454188868,0.001491692228871647,0.038622431679940186,11.10760785477028,3.3328078034549606,11.891860547287484,3.448457705596443
20,1,28.127879000006946,25,25,25,10,25,20,21.7,30.991844689489955,30.9108304977417,0.0355519163033854,0.3198867401897992,0.0,0.0,0.0,0.0,0.07041693947105136,0.2653619028252763,0.0017525720944612771,0.04186373244780352,3.2024376180775116,1.7895355872621006,3.987960685482219,1.9969879031887547
20,2,31.20604200000525,25,25,35,20,25,25,25.8,33.53060985792406,33.34175491333011,0.0640901527979634,0.2883976611526723,0.028538236494577998,-0.03148907903712689,2.5387651684341073,2.4309244155884073,0.07041693947105136,0.2653619028252763,0.0017525720944612771,0.04186373244780352,3.2024376180775116,1.7895355872621006,3.987960685482219,1.9969879031887547
20,3,100.05585300001258,35,35,30,20,30,30,30.0,35.97001612432973,36.14415550231935,0.5596873977976377,0.2398561822331361,0.5241354814942523,-0.08003055795666308,4.978171434839776,5.233325004577651,0.07041693947105136,0.2653619028252763,0.0017525720944612771,0.04186373244780352,3.2024376180775116,1.7895355872621006,3.987960685482219,1.9969879031887547
